,country_name,full_name,geographic_match,admin_lvl_1,admin_lvl_2,admin_level,sex,age_group,pop_type,value
3,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,all,all,non-displaced,112283
10,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,all,all,non-displaced,43774
29,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,all,all,non-displaced,69327
30,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,all,all,non-displaced,178266
126,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,Male,under 18,non-displaced,21360
133,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,Male,under 18,non-displaced,8284
152,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,Male,under 18,non-displaced,13128
153,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,Male,under 18,non-displaced,34059
249,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,Male,18-59,non-displaced,30407
256,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,Male,18-59,non-displaced,11793
275,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,Male,18-59,non-displaced,18688
276,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,Male,18-59,non-displaced,48484
372,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,Male,60 and older,non-displaced,4563
379,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,Male,60 and older,non-displaced,1770
398,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,Male,60 and older,non-displaced,2804
399,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,Male,60 and older,non-displaced,7275
495,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,Female,under 18,non-displaced,20792
502,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,Female,under 18,non-displaced,8148
521,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,Female,under 18,non-displaced,12897
522,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,Female,under 18,non-displaced,32867
618,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,Female,18-59,non-displaced,30909
625,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,Female,18-59,non-displaced,12113
644,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,Female,18-59,non-displaced,19172
645,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,Female,18-59,non-displaced,48859
741,LIBYA,LIBYA_DARNAH_DARNAH,LBY_01_02,DARNAH,DARNAH,2,Female,60 and older,non-displaced,4252
748,LIBYA,LIBYA_AL MARJ_AS SĀḨIL,LBY_02_03,AL MARJ,AS SĀḨIL,2,Female,60 and older,non-displaced,1666
767,LIBYA,LIBYA_AL JABAL AL AKHḐAR_SHAḨḨĀT,LBY_06_01,AL JABAL AL AKHḐAR,SHAḨḨĀT,2,Female,60 and older,non-displaced,2638
768,LIBYA,LIBYA_AL JABAL AL AKHḐAR_AL BAYḐĀ’,LBY_06_02,AL JABAL AL AKHḐAR,AL BAYḐĀ’,2,Female,60 and older,non-displaced,6722
